10	0	1.02306	1.29684	1.29684	1.06235	1.06235	1.56084	1.56084	0.949544	1.43368	1.43368	0	0	0	0	0	0	0	0	
5	0	1.02306	1.03664	1.23277	1.40629	1.40629	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	1.29684	1.29684	1.05146	1.03664	1.57966	1.57966	0.96492	0.785325	0	0	0	0	0	0	0	0	0	0	
9	0	1.06235	1.05146	1.1938	1.1938	0.83857	1.06235	1.37421	1.37421	0.966423	0	0	0	0	0	0	0	0	0	
7	0	0.810173	1.25733	1.25733	0.901966	0.633132	0.846136	0.846136	0	0	0	0	0	0	0	0	0	0	0	
6	0	0.810173	1.15617	1.15617	0.932683	1.27595	1.27595	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	1.25733	1.25733	1.04964	0.932683	1.50305	1.50305	1.17761	0	0	0	0	0	0	0	0	0	0	0	
9	0	0.901966	1.0913	0.836234	0.836234	0.477419	1.38409	1.38409	1.03372	1.03372	0	0	0	0	0	0	0	0	0	
10	0	0.910185	1.47833	1.47833	1.10309	1.80663	1.80663	1.09727	1.67381	1.67381	1.24944	0	0	0	0	0	0	0	0	
6	0	0.910185	1.04831	0.881883	1.62855	1.62855	1.22968	0	0	0	0	0	0	0	0	0	0	0	0	
11	0	1.47833	1.47833	1.04831	1.21891	1.21891	0.811829	0.811829	1.24488	1.24488	0.801894	0.943059	0	0	0	0	0	0	0	
7	0	1.10309	1.36069	0.943059	1.28674	1.28674	0.789879	1.36069	0	0	0	0	0	0	0	0	0	0	0	
10	0	0.848689	1.41148	1.41148	1.04128	1.04128	1.2252	1.2252	0.84721	1.59945	1.59945	0	0	0	0	0	0	0	0	
5	0	0.848689	1.05015	1.23819	1.56362	1.56362	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	1.41148	1.41148	0.851632	1.05015	1.28285	1.28285	0.737	0	0	0	0	0	0	0	0	0	0	0	
9	0	1.04128	0.851632	1.25409	1.25409	0.815798	1.04128	1.06306	1.06306	0.832629	0	0	0	0	0	0	0	0	0	
11	0	1.0913	1.25747	1.25747	1.80663	1.80663	1.36069	1.36069	1.59834	1.59834	0.848596	0.833571	0	0	0	0	0	0	0	
6	0	0.836234	0.836234	0.833571	1.22968	1.22968	0.697218	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0.477419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	1.25747	1.38409	1.38409	1.04964	1.25747	1.09727	1.71067	1.71067	1.3089	0	0	0	0	0	0	0	0	0	
7	0	1.21891	1.21891	0.84721	1.21593	0.881883	1.65943	1.65943	0	0	0	0	0	0	0	0	0	0	0	
5	0	0.811829	0.811829	1.2252	1.2252	0.832629	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	1.07291	1.38446	1.38446	0.782752	0.949544	1.25704	1.42358	1.42358	0	0	0	0	0	0	0	0	0	0	
5	0	1.07291	0.773695	1.56084	1.56084	0.966423	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	1.38446	1.38446	0.773695	1.09381	1.09381	0.83803	0.737	1.08621	1.08621	0	0	0	0	0	0	0	0	0	
5	0	0.782752	1.28285	1.28285	1.47869	1.47869	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0.976679	0.947418	0.947418	0.683523	0.683523	1.17709	1.17709	0.860519	0	0	0	0	0	0	0	0	0	0	
2	0	0.976679	0.956779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	0.947418	0.947418	1.46297	1.46297	0.96492	1.40334	1.40334	0	0	0	0	0	0	0	0	0	0	0	
5	0	0.683523	0.903232	0.683523	1.30456	1.30456	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0.903232	1.46297	1.46297	0.851038	0.741802	1.11728	1.24802	1.24802	0	0	0	0	0	0	0	0	0	0	
6	0	0.851038	1.57966	1.57966	1.18948	1.32375	1.32375	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	1.03372	1.03372	0.585229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	1.17709	1.17709	0.794553	1.15617	1.15617	0.633132	0.432677	0.794553	0	0	0	0	0	0	0	0	0	0	
5	0	0.860519	0.432677	0.846136	0.846136	0.585229	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0.794553	0.794553	1.30456	1.30456	0.741802	1.06415	1.17441	1.17441	0	0	0	0	0	0	0	0	0	0	
